epoch,train_loss,train_acc,train_f1_macro,val_loss,val_f1_macro,status
1,3.875002439631972,0.03630980208820321,0.0358159603951374,3.819285437464714,0.03270354634393209,Frozen
2,3.7521684465482252,0.12544802867383512,0.12614445428255497,3.7062182128429413,0.08293158878856836,Frozen
3,3.640684584314509,0.21411874707807388,0.2095564116642718,3.6201541870832443,0.12856162376975627,Frozen
4,2.9050101928932723,0.45239208352812843,0.4279837231693985,2.527034718543291,0.27199229754159826,Fine-tuning
5,1.5441040193387705,0.6760168302945302,0.6566160177390892,1.7671022396534681,0.43385228079644245,Frozen
6,0.8476479647233505,0.8101916783543712,0.7993265249583773,1.3578903945162892,0.4974654057527729,Frozen
7,0.5568344805591791,0.8628642667913355,0.8555045423597722,1.085363489575684,0.5537287801533419,Frozen
8,0.3964548992325169,0.9024466261492909,0.9014907035207967,1.0193836400285363,0.5707730475063549,Frozen
9,0.3250006916680077,0.9122642979585476,0.9094162838720327,0.9049050351604819,0.590099508135338,Frozen
10,0.2697454539611358,0.9281595761259155,0.9277843079323225,0.8770454893819988,0.6144910797989549,Frozen
