class,accuracy,precision,recall,f1_score
0,0.99949924887331,0.0,0.0,0.0
1,0.99899849774662,0.0,0.0,0.0
2,0.9384076114171257,0.0,0.0,0.0
3,0.99899849774662,0.0,0.0,0.0
4,0.9984977466199298,0.0,0.0,0.0
5,0.9404106159238859,0.0,0.0,0.0
6,0.9979969954932398,0.0,0.0,0.0
7,0.99899849774662,0.0,0.0,0.0
8,0.99899849774662,0.0,0.0,0.0
9,0.9964947421131698,0.0,0.0,0.0
10,0.9984977466199298,0.0,0.0,0.0
11,0.9954932398597897,0.0,0.0,0.0
12,0.9404106159238859,0.0,0.0,0.0
13,0.9969954932398598,0.0,0.0,0.0
14,0.9889834752128193,0.0,0.0,0.0
15,0.9974962443665498,0.0,0.0,0.0
16,0.9974962443665498,0.0,0.0,0.0
17,0.9679519278918377,0.0,0.0,0.0
18,0.9318978467701552,0.0,0.0,0.0
19,0.9534301452178268,0.010638297872340425,1.0,0.021052631578947368
20,0.9979969954932398,0.0,0.0,0.0
21,0.9969954932398598,0.0,0.0,0.0
22,0.9258888332498748,0.0,0.0,0.0
23,0.9814722083124687,0.0,0.0,0.0
24,0.9168753129694541,0.0,0.0,0.0
25,0.9128693039559339,0.0,0.0,0.0
26,0.99899849774662,0.0,0.0,0.0
27,0.99949924887331,0.0,0.0,0.0
28,0.9634451677516275,0.0,0.0,0.0
29,0.99949924887331,0.0,0.0,0.0
30,0.99949924887331,0.0,0.0,0.0
31,0.9979969954932398,0.0,0.0,0.0
32,0.9614421632448673,0.0,0.0,0.0
33,0.9984977466199298,0.0,0.0,0.0
34,0.99899849774662,0.0,0.0,0.0
35,0.99949924887331,0.0,0.0,0.0
36,0.9679519278918377,0.0,0.0,0.0
37,0.9944917376064096,0.0,0.0,0.0
38,0.9984977466199298,0.0,0.0,0.0
39,0.9949924887330996,0.0,0.0,0.0
40,0.9148723084626941,0.0,0.0,0.0
41,0.9739609414121182,0.0,0.0,0.0
42,0.9979969954932398,0.0,0.0,0.0
43,0.9344016024036054,0.0,0.0,0.0
44,0.9954932398597897,0.0,0.0,0.0
45,0.9979969954932398,0.0,0.0,0.0
46,0.9984977466199298,0.0,0.0,0.0
47,0.9924887330996495,0.0,0.0,0.0
48,0.9984977466199298,0.0,0.0,0.0
49,0.9303955933900852,0.0,0.0,0.0
