epoch,train_loss,train_acc,train_f1_macro,val_loss,val_f1_macro
1,2.796035874542312,0.2482468443197756,0.190087374707485,4.9646901559829715,0.1339515779293799
2,1.5488520836948756,0.4872993610721521,0.4255595852243081,4.867581644058228,0.1950023652729511
3,1.2295194822757398,0.597163783699548,0.5489479111118648,4.7547255754470825,0.26944238922154035
4,1.0852116358220874,0.6680691912108462,0.6216407275792468,4.59764760017395,0.36510616579364225
5,0.9963856057741156,0.7154433535920212,0.6703690027306218,4.3768175506591795,0.3765011331062699
6,0.940725278795062,0.7597007947639084,0.7209010242059457,4.122963824272156,0.44129746925095525
7,0.8933569433084175,0.7877512856474989,0.7536962788931346,3.9452484846115112,0.46980464676580724
8,0.8785778459031783,0.8053607604799751,0.783475081140506,3.8377976179122926,0.5209710237384241
9,0.8483128675180881,0.8215677107682717,0.8055404077859939,3.7335726857185363,0.5310711310149206
10,0.8374042712633882,0.8404238740844632,0.8300448303573973,3.651002607345581,0.5508067040331924
11,0.8100996225034419,0.8602150537634409,0.8474550526736684,3.5868356704711912,0.559469455447363
12,0.804908658438061,0.8720585943587346,0.8642183854560653,3.537850651741028,0.5442877911458507
13,0.8066328224258044,0.872214430419199,0.8661629713010075,3.4899360823631285,0.6069351733884967
14,0.7984897971746341,0.8753311516284868,0.869150850231331,3.4642839884757994,0.5917687363215207
15,0.8093811970445054,0.8795387252610254,0.8771914537448272,3.428144006729126,0.5845797940020406
16,0.8029020947603444,0.893719806763285,0.8906307780505578,3.4188254356384276,0.6050075676764696
17,0.7822643079567905,0.8957456755493222,0.8930331019838106,3.4012726855278017,0.6275482535696286
18,0.7755537744778306,0.9005765934237182,0.8972682238145009,3.3822993850708007,0.5986568379417772
19,0.7648912757190306,0.9026024622097554,0.8965744383073997,3.378172507286072,0.6133951774096867
20,0.7746794392813497,0.9038491506934705,0.8993493244199968,3.366417632102966,0.6223750127817764
21,0.7703237613635276,0.9066541997818295,0.9025650696685199,3.353024127483368,0.646617535728547
22,0.7714483328719637,0.901667445846969,0.8975516421943541,3.3604554891586305,0.6375571981466871
23,0.7631725926897419,0.910394265232975,0.9058394670897684,3.351199870109558,0.6139746130216853
